PMCID	PMID	CORDID	Alternative Document IDs	Drug Name	Drug ID	Clinical Trial ID	Clinical Trial ID Type
		CORDID:c9orbv4p	25c7597acc766f25d39a21a83d2cc6afe45a9c05,DOI:10.1101/2020.08.14.20173369,S2ID:221131845	imatinib	DRUGBANK:DB00619	NCT04261517	CTI:AmericanClinicalTrialIdentifier
		CORDID:c9orbv4p	25c7597acc766f25d39a21a83d2cc6afe45a9c05,DOI:10.1101/2020.08.14.20173369,S2ID:221131845	imatinib	DRUGBANK:DB00619	NCT04307693	CTI:AmericanClinicalTrialIdentifier
		CORDID:nnv2e7gr	11c94be69d94cef7605612a411f58ba1c33e57e5,DOI:10.1101/2020.06.18.158196,S2ID:219947275	imatinib	DRUGBANK:DB00619	NCT04346147	CTI:AmericanClinicalTrialIdentifier
		CORDID:nnv2e7gr	11c94be69d94cef7605612a411f58ba1c33e57e5,DOI:10.1101/2020.06.18.158196,S2ID:219947275	imatinib	DRUGBANK:DB00619	NCT04356495	CTI:AmericanClinicalTrialIdentifier
		CORDID:nnv2e7gr	11c94be69d94cef7605612a411f58ba1c33e57e5,DOI:10.1101/2020.06.18.158196,S2ID:219947275	imatinib	DRUGBANK:DB00619	NCT04357613	CTI:AmericanClinicalTrialIdentifier
		CORDID:nnv2e7gr	11c94be69d94cef7605612a411f58ba1c33e57e5,DOI:10.1101/2020.06.18.158196,S2ID:219947275	imatinib	DRUGBANK:DB00619	NCT04394416	CTI:AmericanClinicalTrialIdentifier
		CORDID:nnv2e7gr	11c94be69d94cef7605612a411f58ba1c33e57e5,DOI:10.1101/2020.06.18.158196,S2ID:219947275	imatinib	DRUGBANK:DB00619	NCT04422678	CTI:AmericanClinicalTrialIdentifier
	PMID:32513299	CORDID:0p5vlaia	DOI:10.1186/s13063-020-04399-8,PII:10.1186/s13063-020-04399-8,PMC:PMC7276971	imatinib	DRUGBANK:DB00619	NCT04334265	CTI:AmericanClinicalTrialIdentifier
	PMID:33050924		DOI:10.1186/s13063-020-04619-1,PII:10.1186/s13063-020-04619-1	imatinib	DRUGBANK:DB00619	NCT04356495	CTI:AmericanClinicalTrialIdentifier
	PMID:33115543	CORDID:w7nzzctm	DOI:10.1186/s13063-020-04819-9,PII:10.1186/s13063-020-04819-9,PMC:PMC7594416	imatinib	DRUGBANK:DB00619	NCT04394416	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT00099684	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT00302640	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT00441493	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT00821587	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT00843661	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT00908011	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT00994773	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT01276756	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT01412515	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT01431326	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT01469884	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT01529073	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT01624948	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT01769170	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT01770483	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT01779570	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT02058173	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT02087306	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT02328963	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT02564471	CTI:AmericanClinicalTrialIdentifier
PMCID:PMC7128205	PMID:32081774	CORDID:aq76s37x	DOI:10.1016/j.ijid.2020.02.018,PUBLISHER-ID:S1201-9712(20)30076-X	imatinib	DRUGBANK:DB00619	NCT02683291	CTI:AmericanClinicalTrialIdentifier
