	PMCID	PMID	CORDID	Alternative Document IDs	Drug Name	Drug ID	Clinical Trial ID	Clinical Trial ID Type
0				10.1101/2020.10.05.20206870,EMS97539,EPMCID:10.1101/2020.10.05.20206870,EPMCID:EMS97539,EPMCID:PPR222134	ivermectin	DRUGBANK:DB00602	NCT04446429	CTI:AmericanClinicalTrialIdentifier
1				10.1101/2020.11.30.20236570,EMS107897,EPMCID:10.1101/2020.11.30.20236570,EPMCID:EMS107897,EPMCID:PPR249233	ivermectin	DRUGBANK:DB00602	NCT04422561	CTI:AmericanClinicalTrialIdentifier
2				10.1101/2020.11.30.20236570,EMS107897,EPMCID:10.1101/2020.11.30.20236570,EPMCID:EMS107897,EPMCID:PPR249233	ivermectin	DRUGBANK:DB00602	NCT04425850	CTI:AmericanClinicalTrialIdentifier
3				10.1101/2020.11.30.20236570,EMS107897,EPMCID:10.1101/2020.11.30.20236570,EPMCID:EMS107897,EPMCID:PPR249233	ivermectin	DRUGBANK:DB00602	NCT04523831	CTI:AmericanClinicalTrialIdentifier
4				10.21203/rs.3.rs-101778/v1,EMS104265,EPMCID:10.21203/rs.3.rs-101778/v1,EPMCID:EMS104265,EPMCID:PPR237956	ivermectin	DRUGBANK:DB00602	NCT04287686	CTI:AmericanClinicalTrialIdentifier
5				10.21203/rs.3.rs-101778/v1,EMS104265,EPMCID:10.21203/rs.3.rs-101778/v1,EPMCID:EMS104265,EPMCID:PPR237956	ivermectin	DRUGBANK:DB00602	NCT04311177	CTI:AmericanClinicalTrialIdentifier
6				10.21203/rs.3.rs-101778/v1,EMS104265,EPMCID:10.21203/rs.3.rs-101778/v1,EPMCID:EMS104265,EPMCID:PPR237956	ivermectin	DRUGBANK:DB00602	NCT04312009	CTI:AmericanClinicalTrialIdentifier
7				10.21203/rs.3.rs-109670/v1,EMS106021,EPMCID:10.21203/rs.3.rs-109670/v1,EPMCID:EMS106021,EPMCID:PPR242993	ivermectin	DRUGBANK:DB00602	IRCT20200408046987N1	CTI:IranianClinicalTrialIdentifier
8				10.21203/rs.3.rs-116547/v1,EMS108113,EPMCID:10.21203/rs.3.rs-116547/v1,EPMCID:EMS108113,EPMCID:PPR250406	ivermectin	DRUGBANK:DB00602	NCT04390022	CTI:AmericanClinicalTrialIdentifier
9				10.21203/rs.3.rs-88952/v2,EMS102920,EPMCID:10.21203/rs.3.rs-88952/v2,EPMCID:EMS102920,EPMCID:PPR228134	ivermectin	DRUGBANK:DB00602	NCT04446429	CTI:AmericanClinicalTrialIdentifier
37			CORDID:wi2ferwz	ARXIVID:2012.06719,S2ID:229158140,f75ada97e55fa359e1bf49369d97ce8269648275	ivermectin	DRUGBANK:DB00602	NCT04280224	CTI:AmericanClinicalTrialIdentifier
