	PMID	PT	OT	MH	SI	TI	GR
0	32361195	Comment;Letter	O  NNLM;*Autoinflammatory syndrome;*CAPs;*Capillary leaklike syndrome;*IL6;*IVIG;*SARSCoV2	Betacoronavirus;COVID19;*Coronavirus Infections;Humans;Immunoglobulins, Intravenous;Pandemics;Pneumonia, Viral;SARSCoV2;*Severe Acute Respiratory Syndrome;DA 2020/06/10 06:00		SARS-CoV-2 infection complicated by inflammatory syndrome. Could high-dose human 	
1	32497632	Journal Article;Review		Aminoquinolines/therapeutic use;AntiBacterial Agents/therapeutic use;Antiviral Agents/therapeutic use;Betacoronavirus/*isolation & purification;COVID19;COVID19 Vaccines;Coronavirus Infections/*drug therapy/prevention & control/virology;Drug Repositioning;Humans;Pandemics;Pneumonia, Viral/*drug therapy/virology;SARSCoV2;Viral Vaccines/administration & dosage;DA 2020/08/25 06:00		Potential therapeutic targets for combating SARS-CoV-2: Drug repurposing, clinical 	
2	32560227	Journal Article;Review	O  NNLM;COVID19;SARSCoV2;coronavirus;therapies;vaccines	DA 2020/06/21 06:01		Vaccines and Therapies in Development for SARS-CoV-2 Infections.	R01AI13976802/National Institute of Allergy and Infectious Diseases/
3	32859477	Journal Article;Multicenter Study;Observational Study	O  NNLM;*COVID19;*Disease severity;*Hydroxychloroquine;*Inflammation;*Mortality	Aged;Aged, 80 and over;COVID19/*drug therapy/*mortality;Female;Hospital Mortality;Humans;Hydroxychloroquine/*therapeutic use;Italy;Male;Middle Aged;Retrospective Studies;Treatment Outcome;DA 2020/12/29 06:00		Use of hydroxychloroquine in hospitalised COVID-19 patients is associated with 	
4	32623357	Journal Article	O  NNLM;COVID19;Docking;Molecular dynamics simulation;Mpro;SARSCoV2	Antiviral Agents/chemistry/pharmacology;Betacoronavirus/drug effects/*enzymology;COVID19;Coronavirus 3C Proteases;Coronavirus Infections/*drug therapy;Cysteine Endopeptidases/chemistry/metabolism;*Drug Evaluation, Preclinical;*Drug Repositioning;Humans;Molecular Dynamics Simulation;Pandemics;Pneumonia, Viral/*drug therapy;Protease Inhibitors/chemistry/*pharmacology;Protein Conformation;SARSCoV2;Viral Nonstructural Proteins/*antagonists & inhibitors/chemistry/metabolism;DA 2020/11/20 06:00		Virtual screening of approved drugs as potential SARS-CoV-2 main protease 	P41 GM103311/GM/NIGMS NIH HHS/United States
5	33154646	Case Reports	O  NNLM;COVID19;computed tomography;critical care;followup;pulmonary fibrosis;viral disease	DA 2020/11/07 06:01		A Dangerous Consequence of the Recent Pandemic: Early Lung Fibrosis Following 	
6	32798473	Journal Article;Multicenter Study;Observational Study		Adult;Aged;Aged, 80 and over;*Betacoronavirus;COVID19;Comorbidity;Coronavirus Infections/drug therapy/*epidemiology;Female;FollowUp Studies;Hematologic Neoplasms/*epidemiology/therapy;Humans;Inpatients;Italy/epidemiology;Leukemia/epidemiology/therapy;Lymphoma, NonHodgkin/epidemiology/therapy;Male;Middle Aged;Myeloproliferative Disorders/epidemiology/therapy;Neoplasms, Plasma Cell/epidemiology/therapy;*Pandemics;Pneumonia, Viral/*epidemiology;Retrospective Studies;Risk Factors;SARSCoV2;Young Adult;DA 2020/10/03 06:00	ClinicalTrials.gov/NCT04352556	Clinical characteristics and risk factors associated with COVID-19 severity in 	
7	32600363	Clinical Trial Protocol;Letter	O  NNLM;Absorption;COVID19;Drugdrug interaction;Hydroxychloroquine;Microdosing;Midazolam;Pantoprazole;Randomised controlled trial;Trial protocol;Yohimbine	Adolescent;Adult;*Betacoronavirus;COVID19;Coronavirus Infections/*drug therapy;Drug Interactions;Humans;Hydroxychloroquine/*pharmacokinetics/therapeutic use;Middle Aged;Pandemics;Pantoprazole/*pharmacology;Pneumonia, Viral/*drug therapy;*Randomized Controlled Trials as Topic;SARSCoV2;Young Adult;DA 2020/07/08 06:00		Impact of pantoprazole on absorption and disposition of hydroxychloroquine, a drug 	
8	32784499	Journal Article;Review	O  NNLM;COVID19;SARSCoV2;antiviral;coronavirus;remdesivir;vaccine	DA 2020/08/14 06:01		Emerging Therapeutic Modalities against COVID-19.	1R01CA24119401A1/NH/NIH HHS/United States;1R01HL14702801A1/NH/NIH HHS/United States
9	33495967	Journal Article;Review	O  NNLM;COVID;COVID19;Coronavirus;Evidence;Narrative review;Pharmacologic;Review;Therapy;Treatment	DA 2021/01/27 06:01		COVID-19: Before the Fall, An Evidence-Based Narrative Review of Treatment Options.	
10	32838307	Journal Article		DA 2020/08/25 06:01		COVID-19 in patients with rheumatic diseases in northern Italy: a single-centre 	
11	32316118	Editorial	O  NNLM;ACE2 receptor;COVID19;antimalarials;coronavirus disease;epidemiological paradox;malaria	DA 2020/04/23 06:01		Global Spread of Coronavirus Disease 2019 and Malaria: An Epidemiological Paradox in 	
12	32277351	Journal Article		COVID19;Contraindications, Drug;Coronavirus Infections/*immunology;Dermatitis, Atopic/drug therapy;Hidradenitis Suppurativa/drug therapy;Humans;*Immunomodulation;Immunosuppressive Agents/*therapeutic use;*Pandemics;Pneumonia, Viral/*immunology;Psoriasis/drug therapy;Skin Diseases/*drug therapy/immunology;DA 2020/06/13 06:00		Managing Cutaneous Immune-Mediated Diseases During the COVID-19 Pandemic.	
13	32792851	Journal Article;Review	O  NNLM;*COVID19;*Immune response;*Immunecheckpoints;*Sepsis;*Tcell exhaustion	Adrenal Cortex Hormones/therapeutic use;Antiviral Agents/therapeutic use;Betacoronavirus;Biomarkers;Blood Coagulation Disorders/immunology;COVID19;Coronavirus Infections/*immunology/*physiopathology;Cytokines/metabolism;Humans;Immune System;Immunity, Innate;Interferons/metabolism;Lymphopenia/immunology;Pandemics;Phenotype;Platelet Activation;Pneumonia, Viral/*immunology/*physiopathology;SARSCoV2;Sepsis/*physiopathology;DA 2020/09/01 06:00		Immune Response and COVID-19: A mirror image of Sepsis.	
14	33011243	Journal Article;Review	O  NNLM;COVID19;IL6Induced endothelial dysfunction;Neprilysin;Neutrophilmediated inflammation;Roflumilast;TGFβ1induced pulmonary fibrosis;cAMP	Aminopyridines/*pharmacology/*therapeutic use;Benzamides/*pharmacology/*therapeutic use;COVID19/*drug therapy;Cyclopropanes/pharmacology/therapeutic use;Humans;Neprilysin/*drug effects;Pandemics;SARSCoV2;DA 2020/12/22 06:00		New putative insights into neprilysin (NEP)-dependent pharmacotherapeutic role of 	
15	33238464	Journal Article;Review	O  NNLM;COVID19;HIV;USFDA;drug repurposing/reprofiling;zidovudine	DA 2020/11/27 06:01		Drug Repurposing Approaches to Combating Viral Infections.	P51 OD011132/OD/NIH HHS/United States;R01 DA052845/DA/NIDA NIH HHS/United States;R01 DA042524/DA/NIDA NIH HHS/United States;P30 MH062261/MH/NIMH NIH HHS/United States;R01AI129745, P30MH062261, R01DA042524, R01DA050169 , P51OD011133/NH/NIH HHS/United 
16	33347987	Journal Article;Research Support, NonU.S. Gov't;Review	O  NNLM;*Antiinflammation;*Antiviral;*COVID19;*Nitric oxide;*Vasodilation	Administration, Inhalation;AntiInflammatory Agents/blood/*therapeutic use;Anticoagulants/blood/*therapeutic use;Antiviral Agents/blood/*therapeutic use;COVID19/blood/*drug therapy/pathology/virology;Endothelial Cells/drug effects/pathology/virology;Humans;Inflammation;Lung/blood supply/*drug effects/virology;Mitochondria/drug effects/virology;Nitric Oxide/blood/*therapeutic use;SARSCoV2/drug effects/pathogenicity;Severity of Illness Index;Vasodilation/drug effects;DA 2021/01/28 06:00		The role of NO in COVID-19 and potential therapeutic strategies.	
17	32444415	Journal Article	O  NNLM;*autoimmune diseases;*autoimmunity;*inflammation	Adult;Aged;*Betacoronavirus;COVID19;China;Coronavirus Infections/*complications/pathology/virology;Diarrhea/virology;Fatigue/virology;Female;Fever/virology;Humans;Male;Middle Aged;Pandemics;Pneumonia, Viral/*complications/pathology/virology;Respiratory Insufficiency/virology;Retrospective Studies;Rheumatic Diseases/*virology;SARSCoV2;Symptom Flare Up;DA 2020/07/23 06:00		Clinical features of rheumatic patients infected with COVID-19 in Wuhan, China.	
18	33033561	Journal Article;Review	O  NNLM;COVID19 disease;COVID19 pneumonia;Lung damage;Mesenchymal stem cell secretome;Mesenchymal stem cells;Stem/progenitor cells	DA 2020/10/10 06:01		Perspectives on mesenchymal stem/progenitor cells and their derivates as potential 	
19	32205186	Journal Article;Review	O  NNLM;COVID19;Coronavirus;Cytokine release syndrome;DMARDs;Rheumatoid arthritis;Treatment	Antirheumatic Agents/*therapeutic use;Arthritis, Rheumatoid/complications/*immunology/virology;*Betacoronavirus;COVID19;China;Coronavirus Infections/complications/*drug therapy;Humans;*Immunocompromised Host;Pandemics;Pneumonia, Viral/complications/*drug therapy;SARSCoV2;DA 2020/04/22 06:00		COVID-19 infection and rheumatoid arthritis: Faraway, so close!	
20	32853631	Journal Article	O  NNLM;*COVID19;*immunosuppression;*kidney transplantation;*mortality;*prognosis	Adult;Aged;Aged, 80 and over;COVID19/complications/*mortality/therapy;Deprescriptions;Female;France/epidemiology;Humans;Immunosuppression;Kidney Transplantation/*mortality;Male;Middle Aged;Pandemics/statistics & numerical data;Postoperative Complications/*mortality/virology;*Registries;Retrospective Studies;Risk Factors;Young Adult;DA 2020/12/22 06:00		An initial report from the French SOT COVID Registry suggests high mortality due to 	
21	33199179	Journal Article;Review	O  NNLM;*Biomarker;*COVID19;*Complications;*Cytokine storm;*Immunopathology;*Lung	Biomarkers/analysis/*blood;COVID19/blood/complications/*diagnosis/*therapy;Chemokines/analysis/blood;Cytokine Release Syndrome/diagnosis/etiology/therapy;Cytokines/analysis/blood;Humans;Immunity, Innate/*physiology;Monitoring, Physiologic/*methods;Prognosis;Respiratory Distress Syndrome/diagnosis/etiology/therapy;SARSCoV2/physiology;DA 2021/04/21 06:00		Predictive monitoring and therapeutic immune biomarkers in the management of 	
