	PMID	PT	OT	MH	SI	TI	GR
0	32934882	Journal Article;Research Support, NonU.S. Gov't;Research Support, U.S. Gov't, NonP.H.S.;Review	O  NNLM;*Dendritic cells;*epacadostat;*immune checkpoint blockers;*indoximod;*navoximod	DA 2020/09/17 06:01		Trial watch: IDO inhibitors in cancer therapy.	
1	32497632	Journal Article;Review		Aminoquinolines/therapeutic use;AntiBacterial Agents/therapeutic use;Antiviral Agents/therapeutic use;Betacoronavirus/*isolation & purification;COVID19;COVID19 Vaccines;Coronavirus Infections/*drug therapy/prevention & control/virology;Drug Repositioning;Humans;Pandemics;Pneumonia, Viral/*drug therapy/virology;SARSCoV2;Viral Vaccines/administration & dosage;DA 2020/08/25 06:00		Potential therapeutic targets for combating SARS-CoV-2: Drug repurposing, clinical 	
2	32687696	Journal Article;Research Support, NonU.S. Gov't;Review	O  NNLM;*COVID19;*SARSCoV2;*antiinflammatory drugs;*antiviral drugs;*direct acting antivirals;*hosttargeted approaches;*repurposing;*small molecule inhibitors	Animals;AntiInflammatory Agents/therapeutic use;Antiviral Agents/*therapeutic use;Betacoronavirus/*drug effects/isolation & purification;COVID19;Coronavirus Infections/*drug therapy/immunology/virology;*Drug Repositioning;Humans;Inflammation/immunology/prevention & control/virology;Pandemics;Pneumonia, Viral/*drug therapy/immunology/virology;SARSCoV2;Virus Replication/drug effects;DA 2020/09/24 06:00		Old Drugs for a New Virus: Repurposed Approaches for Combating COVID-19.	
3	32814759	Journal Article;Research Support, NonU.S. Gov't		Animals;Antiviral Agents/pharmacology;Betacoronavirus/*physiology;COVID19;Cell Death/drug effects;Chlorocebus aethiops;Coronavirus Infections/*metabolism/virology;Drug Evaluation, Preclinical/*methods;Hydroxychloroquine/pharmacology;Imatinib Mesylate/pharmacology;Lysosomes/drug effects;Pandemics;Pneumonia, Viral/*metabolism/virology;Protein Kinase Inhibitors/pharmacology;RNA, Viral/drug effects;SARSCoV2;Vero Cells;Viral Load/drug effects;Virus Replication/*drug effects;DA 2020/09/02 06:00		On-target versus off-target effects of drugs inhibiting the replication of 	
4	32717568	Journal Article;Review	O  NNLM;*Chloroquine;*Coronavirus;*Lopinavir;*Remdesivir;*Ribavirin;*Ritonavir;*SARSCoV2	Animals;AntiBacterial Agents/administration & dosage/metabolism;Antibodies, Monoclonal, Humanized/administration & dosage/metabolism;Antimalarials/administration & dosage/metabolism;Antiviral Agents/*administration & dosage/metabolism;COVID19/*drug therapy/metabolism;Clinical Trials as Topic/methods;Cytochrome P450 CYP3A Inhibitors/administration & dosage/metabolism;Drug Approval/*methods;Drug Therapy, Combination;Humans;Hydroxychloroquine/administration & dosage/metabolism;SARSCoV2/*drug effects/metabolism;United States/epidemiology;DA 2020/12/29 06:00		FDA approved drugs with pharmacotherapeutic potential for SARS-CoV-2 (COVID-19) 	
5	33549625	Comment;Letter		Amides;*COVID19;Humans;Imatinib Mesylate/therapeutic use;Pyrazines;SARSCoV2;Treatment Outcome;DA 2021/05/01 06:00		Early clinical experience with imatinib in COVID-19: Searching for a dual effect.	
6	33391502	Journal Article;Research Support, N.I.H., Extramural;Research Support, NonU.S. Gov't;Review	O  NNLM;*COVID19;*SARSCoV2;*cancer;*comorbidity;*coronaviruses;*inflammation	Antineoplastic Agents/pharmacology/*therapeutic use;COVID19/*drug therapy/epidemiology/immunology/virology;Comorbidity;Drug Repositioning;Genome, Viral/genetics;Humans;Neoplasms/*drug therapy/epidemiology;Pandemics/prevention & control;SARSCoV2/*genetics/immunology;Signal Transduction/drug effects/genetics/immunology;DA 2021/01/13 06:00		COVID-19 and Cancer Comorbidity: Therapeutic Opportunities and Challenges.	K22 CA197074/CA/NCI NIH HHS/United States;P30 CA036727/CA/NCI NIH HHS/United States;1K22CA197074/CA/NCI NIH HHS/United States
7	33426509	Journal Article	O  NNLM;Drugs;HighPerformance Computing in Bioinformatics;Structural Biology;Virology	DA 2021/01/12 06:01		A multi-pronged approach targeting SARS-CoV-2 proteins using ultra-large virtual 	R01 CA200913/CA/NCI NIH HHS/United States;R01 GM136859/GM/NIGMS NIH HHS/United States
8	33428075	Journal Article;Review	O  NNLM;Bone marrow;CCN2;CTGF;Connective tissue growth factor;Hematopoiesis;Leukemogenesis	DA 2021/01/12 06:01		CCN2 (Cellular Communication Network factor 2) in the bone marrow microenvironment, 	
9	32971210	Journal Article	O  NNLM;CMap;COVID19 drug;Network proximity;OpenVigil;Pharmacovigilance;Side effect	Antineoplastic Agents/*adverse effects/therapeutic use;Antiviral Agents/*adverse effects/therapeutic use;Betacoronavirus/drug effects;COVID19;Clinical Trials as Topic;Coronavirus Infections/*drug therapy;Humans;Immunologic Factors/*adverse effects/therapeutic use;Pandemics;*Pharmacovigilance;Pneumonia, Viral/*drug therapy;SARSCoV2;DA 2020/10/22 06:00		Comprehensive assessment of side effects in COVID-19 drug pipeline from a network 	
